,Eusociality,Monogamy
Abispa_ephippium,0,0
Acromyrmex_octospinosus,1,0
Aenictus_laeviceps,1,0
Agathis_spp,0,1
Amegilla_spp,0,1
Anagrus_spp,0,1
Anaphes_sordidatus,0,1
Andrena_agilissima,0,0
Anergates_atratulus,1,0
Anthidiellum_notatum,0,0
Anthidium_illustre,0,0
Anthidium_manicatum,0,0
Anthidium_porterae,0,0
Anthidium_septemspinosum,0,0
Anthophora_urbana,0,0
Apanteles_spp,0,1
Aphaenogaster_carolinensis,1,1
Aphaenogaster_rudis,1,0
Aphidius_ervi,0,1
Aphidius_matricariae,0,1
Aphidius_smithi,0,1
Aphidius_sonchi,0,1
Apis_andreniformis,1,0
Apis_cerana,1,0
Apis_dorsata,1,0
Apis_florea,1,0
Apis_koschevnikovi,1,0
Apis_laboriosa,1,0
Apis_mellifera,1,0
Apis_nigrocincta,1,0
Apterostigma_collare,1,0
Atta_colombica,1,0
Atta_sexdens,1,0
Augochlora_pura,0,0
Augochlorella_striata,1,1
Austroplebeia_symei,1,0
Banchus_spp,0,1
Bombus_affinis,1,1
Bombus_auricomus,1,1
Bombus_bimaculatus,1,0
Bombus_citrinus,1,0
Bombus_fervidus,1,1
Bombus_griseocollis,1,1
Bombus_hortorum,1,1
Bombus_humilis,1,1
Bombus_hypnorum,1,0
Bombus_impatiens,1,0
Bombus_insularis,1,1
Bombus_lapidarius,1,1
Bombus_lucorum,1,1
Bombus_mixtus,1,0
Bombus_pascuorum,1,1
Bombus_pratorum,1,1
Bombus_sichelii,1,1
Bombus_sylvarum,1,1
Bombus_ternarius,1,1
Bombus_terrestris,1,1
Bombus_vagans,1,1
Bombus_variabilis,1,1
Brachygastra_mellifica,1,1
Brachymeria_nephantidis,1,1
Calliopsis_andreniformis,0,0
Calliopsis_pugionis,0,0
Callonychium_spp,0,0
Camponotus_consobrinus,1,1
Camponotus_festinatus,1,0
Camponotus_floridanus,1,1
Camponotus_ligniperda,1,1
Camponotus_ocreatus,1,1
Cardiocondyla_batesii,1,0
Cardiocondyla_elegans,1,0
Cataglyphis_cursor,1,1
Caupolicana_yarrowi,0,0
Centris_pallida,0,1
Cephalonomia_tarsalis,0,1
Ceramius_spp,0,0
Chasmias_spp,0,1
Chelonus_inanitus,0,0
