 ,Haplodiploidy,Eusociality
Archaeogna,0,0
Bla_Blaber,0,0
Bla_Blatti,0,0
Bla_Crypto,0,0
Bla_Ectobi,0,0
Bla_Noctic,0,0
Bla_Polyph,0,0
Co_Ad_Amph,0,0
Co_Ad_Aspi,0,0
Co_Ad_Cara,0,0
Co_Ad_Dyti,0,0
Co_Ad_Gyri,0,0
Co_Ad_Hali,0,0
Co_Ad_Hygr,0,0
Co_Ad_Note,0,0
Co_Ad_Trac,0,0
Co_Ar_Cupe,0,0
Co_Ar_Micr,1,0
Co_Ar_Omma,0,0
Co_Myx_Lep,0,0
Co_Myx_Hyd,0,0
Co_Myx_Sph,0,0
Co_Myx_Tor,0,0
Co_P_Aderi,0,0
Co_P_Agyrt,0,0
Co_P_Alexi,0,0
Co_P_Anobi,0,0
Co_P_Anthi,0,0
Co_P_Anthr,0,0
Co_P_Artem,0,0
Co_P_Attel,0,0
Co_P_Belid,0,0
Co_P_Biphy,0,0
Co_P_Borid,0,0
Co_P_Bostr,0,0
Co_P_Bothr,0,0
Co_P_Brach,0,0
Co_P_Brent,0,0
Co_P_Bupre,0,0
Co_P_Byrrh,0,0
Co_P_Bytur,0,0
Co_P_Calli,0,0
Co_P_Canth,0,0
Co_P_Cepha,0,0
Co_P_Ceram,0,0
Co_P_Cerat,0,0
Co_P_Ceryl,0,0
Co_P_Chelo,0,0
Co_P_Chrys,0,0
Co_P_Ciida,0,0
Co_P_Clamb,0,0
Co_P_Cleri,0,0
Co_P_Cocci,0,0
Co_P_Coryl,0,0
Co_P_Crypt,0,0
Co_P_Cucuj,0,0
Co_P_Curcu,1,1
Co_P_Dasci,0,0
Co_P_Derme,0,0
Co_P_Derod,0,0
Co_P_Disco,0,0
Co_P_Drili,0,0
Co_P_Dryop,0,0
Co_P_Elate,0,0
Co_P_Elmid,0,0
Co_P_Endom,0,0
Co_P_Epime,0,0
Co_P_Eroty,0,0
Co_P_Eucin,0,0
Co_P_Eucne,0,0
Co_P_Eulic,0,0
Co_P_Geori,0,0
Co_P_Geotr,0,0
Co_P_Glaph,0,0
Co_P_Glare,0,0
Co_P_Helop,0,0
Co_P_Helot,0,0
Co_P_Heter,0,0
Co_P_Histe,0,0
Co_P_Hybos,0,0
Co_P_Hydra,0,0
Co_P_Hydroc,0,0
Co_P_Hydrop,0,0
Co_P_Ithyc,0,0
Co_P_Kater,0,0
Co_P_Laemo,0,0
Co_P_Lampy,0,0
Co_P_Langu,0,0
Co_P_Latri,0,0
Co_P_Leiod,0,0
Co_P_Limni,0,0
Co_P_Lucan,0,0
Co_P_Lutro,0,0
Co_P_Lycid,0,0
Co_P_Lymex,0,0
Co_P_Mauro,0,0
Co_P_Melan,0,0
Co_P_Meloi,0,0
Co_P_Melyr,0,0
Co_P_Monot,0,0
Co_P_Morde,0,0
Co_P_Mycet,0,0
Co_P_Nemon,0,0
Co_P_Nitid,0,0
Co_P_Nosod,0,0
Co_P_Ochod,0,0
Co_P_Oedem,0,0
Co_P_Omali,0,0
Co_P_Ometh,0,0
Co_P_Orsod,0,0
Co_P_Passal,0,0
Co_P_Passan,0,0
Co_P_Perim,0,0
Co_P_Phala,0,0
Co_P_Pheng,0,0
Co_P_Phloe,0,0
Co_P_Phloi,0,0
Co_P_Pleoc,0,0
Co_P_Prion,0,0
Co_P_Propa,0,0
Co_P_Prost,0,0
Co_P_Proto,0,0
Co_P_Pseph,0,0
Co_P_Ptili,0,0
Co_P_Ptilo,0,0
Co_P_Ptini,0,0
Co_P_Pyroc,0,0
Co_P_Pythi,0,0
Co_P_Rhipi,0,0
Co_P_Ripip,0,0
Co_P_Salpi,0,0
Co_P_Scara,0,0
Co_P_Scirt,0,0
Co_P_Scrap,0,0
Co_P_Scydm,0,0
Co_P_Silph,0,0
Co_P_Silva,0,0
Co_P_Sperc,0,0
Co_P_Sphae,0,0
Co_P_Sphin,0,0
Co_P_Staph,0,0
Co_P_Synch,0,0
Co_P_Teneb,0,0
Co_P_Tetra,0,0
Co_P_Thros,0,0
Co_P_Trict,0,0
Co_P_Trogo,0,0
Co_P_Zophe,0,0
Coll_Bourl,1,0
Coll_Brach,0,0
Coll_Dicyr,1,0
Coll_Entom,0,0
Coll_Hypog,0,0
Coll_Isoto,0,0
Coll_Katia,1,0
Coll_Neanu,0,0
Coll_Neeli,0,0
Coll_Odont,0,0
Coll_Oncop,0,0
Coll_Onych,0,0
Coll_Paron,0,0
Coll_Podur,0,0
Coll_Smint,1,0
Coll_Tomoc,0,0
Coll_Tullb,0,0
Der_Anisol,0,0
Der_Apachy,0,0
Der_Chelis,0,0
Der_Forfic,0,0
Der_Labidu,0,0
Der_Labiid,0,0
Der_Pygidi,0,0
Dipl_Campo,0,0
Dipl_Japyg,0,0
Dipl_Para,0,0
Dipl_Proj,0,0
Di_Acartop,0,0
Di_Acrocer,0,0
Di_Agromyz,0,0
Di_Anisop,0,0
Di_Anthomyi,0,0
Di_Anthomyz,0,0
Di_Apiocer,0,0
Di_Apsiloc,0,0
Di_Asilida,0,0
Di_Asteiid,0,0
Di_Atelest,0,0
Di_Atheric,0,0
Di_Aulacig,0,0
Di_Austral,0,0
Di_Austrol,0,0
Di_Axymyii,0,0
Di_Bibioni,0,0
Di_Blephar,0,0
Di_Bombyli,0,0
Di_Braulid,0,0
